GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
logprocessor,dev.coms4156.project.logprocessor.controller,AnalyticsController,0,20,0,0,0,6,0,4,0,4
logprocessor,dev.coms4156.project.logprocessor.controller,LogController,0,43,0,2,0,12,0,4,0,3
logprocessor,dev.coms4156.project.logprocessor.controller,SecurityController,0,11,0,0,0,4,0,2,0,2
logprocessor,dev.coms4156.project.logprocessor.model,LogEntry,28,59,0,0,14,21,7,11,7,11
logprocessor,dev.coms4156.project.logprocessor,LogProcessorApplication,5,3,0,0,2,1,1,1,1,1
logprocessor,dev.coms4156.project.logprocessor.service,LogService,30,239,2,14,7,51,4,14,2,8
